"Time after injection[t(s)]","Mean vertical position [y(m)]"
0.13222280811503018, 1.5324937027707812
0.1988842129583169, 1.5521410579345092
0.26581061316366456, 1.5390428211586904
0.33308152494886795, 1.5324937027707812
0.3998215992284138, 1.4997481108312347
0.46471326566031373, 1.486649874055416
0.5286553459502302, 1.44735516372796
0.5949692996577532, 1.44735516372796
0.6624465694041155, 1.4080604534005041
0.803770740933922, 1.3753148614609576
0.8759054563278038, 1.368765743073048
1.1335282505284887, 1.2836272040302268
1.1833000089679324, 1.2377833753148617
1.2620851215637356, 1.1919395465994964
1.3902065030648383, 1.2115869017632244
1.466923496667103, 1.2115869017632244
1.531334208875836, 1.185390428211587
1.5985731120956628, 1.139546599496222
1.6509327904265538, 1.0871536523929473
1.7234231125747286, 1.1068010075566754
1.779872128962936, 1.139546599496222
1.8580240105896526, 1.1002518891687658
1.9396074401924335, 1.119899244332494
1.9817328162776433, 1.1002518891687658
2.046642511062913, 1.0347607052896728
2.2064871353426887, 1.0544080604534007
2.2787584351497627, 1.06095717884131
2.1136782585847134, 0.9692695214105795
2.3282496641989283, 0.9758186397984887
2.456731522253143, 1.0085642317380354
2.3788157688097216, 0.9168765743073048
2.537199328997311, 0.9299748110831236
2.794764748017575, 0.936523929471033
2.8554628633373684, 0.9037783375314863
2.735356882783217, 0.8382871536523933
2.917479251046988, 0.8710327455919398
3.248359406570231, 0.9037783375314863
3.1793095525547312, 0.8382871536523933
3.0455819890841727, 0.8055415617128463
3.1453370094033546, 0.7858942065491186
3.3547562002759457, 0.8055415617128463
3.5781186975015937, 0.8055415617128463
3.6953164300377828, 0.7858942065491186
3.6953164300377828, 0.759697732997481
3.4646379155355866, 0.7073047858942068
3.502059203218759, 0.7465994962216627
3.8992383411326914, 0.6876574307304786
3.9839239729581664, 0.6745591939546602
4.114413455197332, 0.6549118387909321
3.8163528581771167, 0.6156171284634762
4.203772369057265, 0.595969773299748
4.341462767672543, 0.5566750629722925
4.992168884453897, 0.5828715365239296
3.857572991907678, 0.48463476070528966
4.114413455197332, 0.5108312342569268
4.388354573152816, 0.5042821158690178
4.731089019525545, 0.5042821158690178
4.53209077896886, 0.45188916876574314
4.5810415429391975, 0.41914357682619663
4.249176991130952, 0.3798488664987407
4.680534921784523, 0.3340050377833754
4.8860511525320405, 0.36675062972292194
5.440193007924545, 0.44534005037783375
5.928425229289623, 0.36675062972292194
5.100591334987312, 0.30780856423173786
5.740403984685151, 0.30125944584382847
6.057181768990312, 0.26851385390428195
5.100591334987312, 0.22267002518891665
5.382061772617496, 0.24231738035264483
5.679064842065541, 0.20957178841309831
5.802405646666999, 0.18992443324937014
5.211368559177579, 0.15062972292191423
5.2676561502131625, 0.07204030226700242
5.992457694274972, 0.11788413098236772
5.498952114233661, 0.11133501259445788
5.865076983831773, 0.013098236775818783
5.382061772617496, 0.21612090680100726
