"Time after injection[t(s)]","Mean vertical position [y(m)]"
0.13222280811503018, 1.4146095717884135
0.1988842129583169, 1.401511335012595
0.26581061316366456, 1.3949622166246853
0.33308152494886795, 1.3884130982367762
0.3998215992284138, 1.3884130982367762
0.46471326566031373, 1.3753148614609576
0.5286553459502302, 1.3622166246851388
0.5949692996577532, 1.3360201511335015
0.6624465694041155, 1.3491183879093203
0.7296952582544861, 1.3294710327455923
0.803770740933922, 1.3294710327455923
0.8665459600536178, 1.303274559193955
0.9242413209214071, 1.303274559193955
0.9964254008904093, 1.263979848866499
1.1335282505284887, 1.2508816120906803
1.1960807413649697, 1.3818639798488668
1.2620851215637356, 1.2901763224181364
1.4052220165927987, 1.3163727959697737
1.3317318797849513, 1.1984886649874058
