"Time after injection[t(s)]","Mean square displacement in X direction [$\overline{X^2}(m^2)]"
0.052979911644577715, 0.0000033862246144580983
0.13076602483954325, 0.000004697152120356006
0.262965741435359, 0.00007929116634226846
0.1979494873718428, 0.000050748867676573056
0.40536800866883405, 0.00012025505995384977
0.3281487038426272, 0.00014375492718621038
0.5344336084021004, 0.000123886292399378
0.47051762940735187, 0.0002116320288223409
0.6643994331916312, 0.0002849576770198498
0.7418854713678418, 0.0003024267170309523
0.8708843877636074, 0.00029356228428372664
0.7942985746436608, 0.0006175863298586871
1.0009502375593897, 0.0007382731164418864
0.9368342085521382, 0.0010550081484365546
1.13021588730516, 0.0009091935178794681
1.1944652829874138, 0.0007166335852059143
1.4012836542468954, 0.0009940678329180977
1.4656330749354003, 0.0008566758762583878
1.2725848128698842, 0.0013384895568255026
1.337334333583396, 0.0016483683364771438
1.531282820705176, 0.002355553775260737
1.673418354588647, 0.002815868717505638
1.7374677002583978, 0.0018566662805158906
1.607901975493874, 0.001153494435676667
1.8017170959406517, 0.0014634391765575956
1.9442193881803782, 0.0024266822857716146
2.0729182295573896, 0.0018022455152500022
1.9962323914311912, 0.003467781134296829
1.8678669667416854, 0.0062870890599172535
2.139368175377178, 0.01011970747245178
2.3454530299241476, 0.007295399777628363
2.4108693840126705, 0.01628869550789283
2.6042177210969406, 0.013625954207012046
2.201083604234392, 0.0008315658404592494
2.2661665416354086, 0.0013789067060798533
2.4722847378511297, 0.0010240847932799617
2.5380678502959073, 0.003171699178185917
