"Time after injection[t(s)]","Mean square displacement in X direction [$\overline{X^2}(m^2)]"
0.19604901225306315, 0.000009310912558090734
0.2609985829790782, 0.000013707268011090308
0.3395182128865548, 0.00003658537353677709
0.13346670000833538, 0.00005228128498152244
0.6637992831541217, 0.00016681005372000626
0.5993498374593649, 0.00017703617407992906
0.3920980245061265, 0.00008669309266441174
0.46945069600733524, 0.00008168544942670831
0.5343335833958489, 0.00011330878062213199
0.7924647828623821, 0.00012025505995384977
0.728448778861382, 0.0001878891963278587
0.9991497874468618, 0.0001480957637048855
0.922297240976911, 0.0002455731486058932
1.0644327748603815, 0.00029356228428372664
1.1295823955989002, 0.0005166284215610419
1.2068683837626073, 0.00045866828129649957
1.3358339584896226, 0.00043217427760378974
1.4000166708343758, 0.00032096667873857094
1.5291822955738932, 0.0003615259990110496
1.2719179794948736, 0.0007382731164418864
1.4654663665916476, 0.0007382731164418864
1.594698674668667, 0.0008825441369233837
1.6587146786696676, 0.0005648563098457611
1.736134033508377, 0.0005648563098457611
1.8004834541968824, 0.00048678647288757573
1.865066266566642, 0.0005166284215610419
2.07165124614487, 0.0005819127610267802
1.9307160123364178, 0.001420544295154236
2.0078686338251233, 0.0011196843478982516
2.1234641993831787, 0.000695628330502142
2.2006168208718844, 0.0005482998004882854
2.3299491539551553, 0.0007166335852059143
2.2657330999416514, 0.0009366476059041634
2.4717846128198717, 0.0006554468304756254
2.3952988247061766, 0.001507629315600497
2.5374677002583974, 0.0018566662805158906
2.601650412603151, 0.0013789067060798533
2.730582645661416, 0.0012611745370012639
2.936900891889639, 0.0011196843478982516
2.795698924731183, 0.002154434690031889
2.667100108360424, 0.003171699178185917
2.8735517212636497, 0.003171699178185917
3.001917145953155, 0.0017494198776186315
3.0659664916229055, 0.001153494435676667
3.195365508043678, 0.0016000529944835264
3.131449529048929, 0.002733332759319147
3.3381011919646575, 0.0032674720875978313
3.273351671251146, 0.002653216013488475
3.4658331249479044, 0.0010240847932799617
3.5317496040676843, 0.0035724945606897137
3.4029507376844217, 0.0043995762880991
