"Time after injection[t(s)]","Mean square displacement in X direction [$\overline{X^2}(m^2)]"
0.13129949153955156, 0.0000075605427183554
0.1977494373593398, 0.0000424528622739387
0.32848212053013226, 0.00019356271514803792
0.26423272484787863, 0.0002455731486058932
0.5226639993331668, 0.00034064321390601715
0.47185129615737265, 0.000695628330502142
0.6652329749103945, 0.0005994842503189421
0.7434191881303656, 0.0011883254558613715
0.6016837542719016, 0.001420544295154236
0.7951654580311744, 0.0013384895568255026
0.8735850629323998, 0.0032674720875978313
